t_recv_ns	batch_idx	n_span	name	timestamp_us	duration_us	id	parent
1788609783357898287	0	1	calibration	1788609783356808	57	f0a9d984743d4c05	46f2e030d30d0ef8
1788609783362426542	1	1	phase_loop[0]	1788609783358821	1153	ce997a990dee60ae	212e165ed96720f4
1788609783364684343	2	1	phase_loop[1]	1788609783362661	1094	6aa5870810e3d32d	212e165ed96720f4
1788609783367002117	3	1	phase_loop[2]	1788609783364949	1106	8bf507b3f06d3f96	212e165ed96720f4
1788609783369376959	4	1	phase_loop[3]	1788609783367267	1102	5e02186c4a7a67f0	212e165ed96720f4
1788609783371515084	5	1	phase_loop[4]	1788609783369625	1103	96ecb6dfc2d7ff62	212e165ed96720f4
1788609783385491170	6	1	phase_loop[5]	1788609783383673	1097	8cd44e9f5b27624f	212e165ed96720f4
1788609783387122385	7	1	phase_loop[0]	1788609783383364	2029	b8c7b7a5974cd456	f0c342814ad94d88
1788609783388377760	8	1	phase_loop[6]	1788609783385690	1083	3edc60275553b28c	212e165ed96720f4
1788609783389872527	9	1	phase_loop[1]	1788609783387300	2003	8965dac0f627c678	f0c342814ad94d88
1788609783391499354	10	1	phase_loop[7]	1788609783388547	1089	80a6e18ccbf320ab	212e165ed96720f4
1788609783392679316	11	1	phase_loop[2]	1788609783390051	2004	a26546b6e23427ae	f0c342814ad94d88
1788609783394550535	12	1	phase_loop[8]	1788609783391725	1091	cd7e24a361741ac8	212e165ed96720f4
1788609783396484223	13	1	phase_loop[9]	1788609783394739	1089	030ad915480203c7	212e165ed96720f4
1788609783398643117	14	1	phase_loop[10]	1788609783396691	1097	89fc81610db01a50	212e165ed96720f4
1788609783400389740	15	1	phase_loop[3]	1788609783392860	5785	99874fad47aac235	f0c342814ad94d88
1788609783401847608	16	1	phase_loop[11]	1788609783398865	1086	b86b37e5a4eb22e5	212e165ed96720f4
1788609783403955335	17	1	phase_loop[12]	1788609783402126	1085	d3877223dd5c999c	212e165ed96720f4
1788609783406026442	18	1	phase_loop[13]	1788609783404157	1087	de4e49a10a0df51b	212e165ed96720f4
1788609783407900477	19	1	phase_loop[14]	1788609783406220	1081	cb7e61850c5dc210	212e165ed96720f4
1788609783409179837	20	1	phase_loop[4]	1788609783400594	8048	3c5b7de895884017	f0c342814ad94d88
1788609783410733626	21	1	phase_loop[15]	1788609783408078	1079	4f6a171cb49cf84d	212e165ed96720f4
1788609783412541546	22	1	phase_loop[16]	1788609783410935	1079	f781c45856020323	212e165ed96720f4
1788609783414358703	23	1	phase_loop[17]	1788609783412710	1090	017cbebae67af842	212e165ed96720f4
1788609783416241124	24	1	phase_loop[18]	1788609783414532	1081	bdf5e37b8ab2c97a	212e165ed96720f4
1788609783418357036	25	1	phase_loop[19]	1788609783416442	1096	0676242daeee6feb	212e165ed96720f4
1788609783419281344	26	1	phase_loop[5]	1788609783409341	9305	cf1c4c9b5b6ba87d	f0c342814ad94d88
1788609783420168833	27	1	phase_loop[20]	1788609783418569	1093	7c52754a090fe8b9	212e165ed96720f4
1788609783421919244	28	1	phase_loop[21]	1788609783420330	1089	5acdddf3027691a5	212e165ed96720f4
1788609783423863251	29	1	phase_loop[22]	1788609783422079	1076	6441324fc01f5f70	212e165ed96720f4
1788609783425883462	30	1	phase_loop[23]	1788609783424087	1084	b20796fad58d53ca	212e165ed96720f4
1788609783427761705	31	1	phase_loop[24]	1788609783426071	1081	959455da6acf4dba	212e165ed96720f4
1788609783429268265	32	1	phase_loop[6]	1788609783419457	9188	38d31b2553f63321	f0c342814ad94d88
1788609783431041769	33	1	phase_loop[25]	1788609783428024	1083	80bf9e2340ac347d	212e165ed96720f4
1788609783433224498	34	1	phase_loop[26]	1788609783431259	1086	7df9080423704315	212e165ed96720f4
1788609783435441642	35	1	phase_loop[27]	1788609783433466	1096	d179b693c4c484b9	212e165ed96720f4
1788609783437481079	36	1	phase_loop[28]	1788609783435659	1094	d7561e16ac43c781	212e165ed96720f4
1788609783439482736	37	1	phase_loop[7]	1788609783429466	9182	302ff228fd005639	f0c342814ad94d88
1788609783441021697	38	1	phase_loop[29]	1788609783437724	1085	699c286b01717c62	212e165ed96720f4
1788609783443103895	39	1	phase_loop[30]	1788609783441242	1084	9cb8fac2fcb1c04a	212e165ed96720f4
1788609783445102546	40	1	phase_loop[31]	1788609783443314	1094	fc6a1f799b639a6c	212e165ed96720f4
1788609783447065298	41	1	phase_loop[32]	1788609783445296	1126	df31bc77ae273720	212e165ed96720f4
1788609783448910969	42	1	phase_loop[33]	1788609783447245	1078	052d9c9e20316026	212e165ed96720f4
1788609783450271352	43	1	phase_loop[8]	1788609783439709	8932	829941669e7cb301	f0c342814ad94d88
1788609783451778754	44	1	phase_loop[34]	1788609783449086	1082	835fc899b8576d63	212e165ed96720f4
1788609783453630987	45	1	phase_loop[35]	1788609783451973	1079	cd6ec32d6cb25ded	212e165ed96720f4
1788609783455543916	46	1	phase_loop[36]	1788609783453801	1080	3e0c5341e1855d66	212e165ed96720f4
1788609783457719060	47	1	phase_loop[37]	1788609783455724	1090	3574e25a3722338f	212e165ed96720f4
1788609783459439925	48	1	phase_loop[9]	1788609783450449	8196	01ac7aa35c5ac24e	f0c342814ad94d88
