t_recv_ns	batch_idx	n_span	name	timestamp_us	duration_us	id	parent
1788609398008563893	0	1	calibration	1788609398007600	43	60996e6e051d13f1	913a8942f3d1b309
1788609398013818321	1	1	phase_loop[0]	1788609398009784	2122	3d55531775b79dc2	de9a4d848566ebfd
1788609398015153975	2	1	phase_loop[0]	1788609398009997	2836	78d395550ad93a24	450d48dc89765571
1788609398016097785	3	1	phase_loop[1]	1788609398014048	1454	419240d6beca7304	de9a4d848566ebfd
1788609398017433669	4	1	phase_loop[0]	1788609398010144	2704	01372d5a7a3e54d2	10f1a0c1682c9f7c
1788609398018308930	5	1	phase_loop[1]	1788609398015356	2359	52812e92b85fd375	450d48dc89765571
1788609398019595511	6	1	phase_loop[2]	1788609398016292	1093	71a53462c5f2e195	de9a4d848566ebfd
1788609398020571602	7	1	phase_loop[1]	1788609398017628	2332	b2e84f51115f16cd	10f1a0c1682c9f7c
1788609398021997507	8	1	phase_loop[2]	1788609398018499	1110	7003bb43283107d5	450d48dc89765571
1788609398023811529	9	1	phase_loop[3]	1788609398019783	1802	255c2bcf6e1203f2	de9a4d848566ebfd
1788609398025421202	10	1	phase_loop[0]	1788609398010299	2563	6390388062e854de	b8f5a2f1fabed762
1788609398026993555	11	1	phase_loop[4]	1788609398024135	2160	00aad1bf3b4572d1	de9a4d848566ebfd
1788609398059733555	12	1	phase_loop[3]	1788609398022230	1107	d54944fdb806092b	450d48dc89765571
1788609398061207532	13	1	phase_loop[2]	1788609398020756	1154	a667c247a5d57275	10f1a0c1682c9f7c
1788609398062394804	14	1	phase_loop[0]	1788609398058728	2022	d4c8173fd2f8a2c0	46b7c7d1182e2894
1788609398064498775	15	1	phase_loop[1]	1788609398025756	1118	14162d898ceeb1f6	b8f5a2f1fabed762
1788609398066158614	16	1	phase_loop[3]	1788609398061406	1108	38adb222caf49321	10f1a0c1682c9f7c
1788609398067401282	17	1	phase_loop[1]	1788609398062582	2007	e28439246e9bd31d	46b7c7d1182e2894
1788609398068966551	18	1	phase_loop[4]	1788609398059916	1085	407b7361c194ebe9	450d48dc89765571
1788609398070412204	19	1	phase_loop[2]	1788609398067625	2005	571216ea596ad1a7	46b7c7d1182e2894
1788609398071610206	20	1	phase_loop[2]	1788609398064719	1133	514f1b1546ec9cc7	b8f5a2f1fabed762
1788609398073107727	21	1	phase_loop[5]	1788609398059090	2018	ae4dd56ed17ec725	de9a4d848566ebfd
1788609398074242039	22	1	phase_loop[3]	1788609398070607	2004	de039b6d43b38b42	46b7c7d1182e2894
1788609398075411918	23	1	phase_loop[4]	1788609398066379	1097	c6decb03c8fbc41a	10f1a0c1682c9f7c
1788609398076737654	24	1	phase_loop[6]	1788609398073300	1101	89af4cbb3deb74f2	de9a4d848566ebfd
1788609398078047378	25	1	phase_loop[5]	1788609398069204	1090	53da151301cc641a	450d48dc89765571
1788609398078903262	26	1	phase_loop[7]	1788609398076986	1372	f1f35757e2bae435	de9a4d848566ebfd
