t_recv_ns	batch_idx	n_span	name	timestamp_us	duration_us	id	parent
1788609638926185302	0	1	calibration	1788609638924901	63	d65847706ce4d743	f81535b6e181131f
1788609638953097972	1	1	phase_loop[0]	1788609638927204	25070	ad9294036d5e2586	e2d1ce45ccca1c88
1788609638954830802	2	1	phase_loop[0]	1788609638952205	2054	e5db812a19911dd0	c03f9850ce44fc5a
1788609638956245651	3	1	phase_loop[1]	1788609638953310	1091	bcf5baf431a5339c	e2d1ce45ccca1c88
1788609638957796637	4	1	phase_loop[1]	1788609638955005	2007	392b24ce44d509ee	c03f9850ce44fc5a
1788609638959390264	5	1	phase_loop[2]	1788609638956507	1096	3ef03e41c8a28be7	e2d1ce45ccca1c88
1788609638960621164	6	1	phase_loop[2]	1788609638958047	2003	8da8979e1933698d	c03f9850ce44fc5a
1788609638962375576	7	1	phase_loop[3]	1788609638959584	1089	89dd844093dd4de2	e2d1ce45ccca1c88
1788609638964517190	8	1	phase_loop[4]	1788609638962560	1095	d4b0644e7320e24e	e2d1ce45ccca1c88
1788609638966832744	9	1	phase_loop[5]	1788609638964810	1090	a77372eb6b8cf344	e2d1ce45ccca1c88
1788609638968856415	10	1	phase_loop[3]	1788609638960795	6231	13decf10d28f4a05	c03f9850ce44fc5a
1788609638969942321	11	1	phase_loop[6]	1788609638967087	1082	d62de5262fc7582e	e2d1ce45ccca1c88
1788609638971869349	12	1	phase_loop[7]	1788609638970152	1084	5f36252762af5b2f	e2d1ce45ccca1c88
1788609638973662473	13	1	phase_loop[8]	1788609638972050	1079	dd005846081218a9	e2d1ce45ccca1c88
1788609638975418838	14	1	phase_loop[9]	1788609638973832	1077	ba46b8fb8f9fd849	e2d1ce45ccca1c88
1788609638977199039	15	1	phase_loop[10]	1788609638975587	1091	6ac0b44036e78ba4	e2d1ce45ccca1c88
1788609638978643132	16	1	phase_loop[4]	1788609638969065	7954	24bd81ef5f2191f4	c03f9850ce44fc5a
1788609638980085283	17	1	phase_loop[11]	1788609638977364	1081	fe79e8cf007cb592	e2d1ce45ccca1c88
1788609638981849973	18	1	phase_loop[12]	1788609638980248	1078	c89dcbcc7d27c990	e2d1ce45ccca1c88
1788609638983614775	19	1	phase_loop[13]	1788609638982012	1079	a41b2f8544f99bfd	e2d1ce45ccca1c88
1788609638985387551	20	1	phase_loop[14]	1788609638983781	1099	de3c3eeb2a2fecad	e2d1ce45ccca1c88
