t_recv_ns	batch_idx	n_span	name	timestamp_us	duration_us	id	parent
1788609735217128301	0	1	calibration	1788609735216156	51	630dd6176caa7ad7	03f4149fa9c03bf2
1788609735236899960	1	1	phase_loop[0]	1788609735233470	2070	e501dfb726788289	eeb5b7cb9c52ced7
1788609735239927448	2	1	phase_loop[1]	1788609735237129	2012	3f294230b19d3b42	eeb5b7cb9c52ced7
1788609735248446145	3	1	phase_loop[2]	1788609735240119	7539	68c96523ede754a4	eeb5b7cb9c52ced7
1788609735258483466	4	1	phase_loop[3]	1788609735248640	9019	46b2d2d6889bd23a	eeb5b7cb9c52ced7
1788609735268483346	5	1	phase_loop[4]	1788609735258696	8965	9bbb46abeab1479d	eeb5b7cb9c52ced7
1788609735278471042	6	1	phase_loop[5]	1788609735268694	8965	5182ee11579af956	eeb5b7cb9c52ced7
1788609735288543800	7	1	phase_loop[6]	1788609735278666	8997	ae531a5b373d69ae	eeb5b7cb9c52ced7
1788609735298571863	8	1	phase_loop[7]	1788609735288762	8897	ed98f8f20580f492	eeb5b7cb9c52ced7
1788609735308600207	9	1	phase_loop[8]	1788609735298805	8852	0514b52b44f3b448	eeb5b7cb9c52ced7
1788609735318419625	10	1	phase_loop[9]	1788609735308827	8830	3f5bdd085138bbb2	eeb5b7cb9c52ced7
1788609735328429544	11	1	phase_loop[10]	1788609735318614	9043	095c7b98712df84b	eeb5b7cb9c52ced7
1788609735338474599	12	1	phase_loop[11]	1788609735328619	9042	0971310055a3b8d0	eeb5b7cb9c52ced7
1788609735348273709	13	1	phase_loop[12]	1788609735338671	8983	b671ae1d3cfe644e	eeb5b7cb9c52ced7
1788609735358468708	14	1	phase_loop[13]	1788609735348452	9204	fe2df071dcb52b46	eeb5b7cb9c52ced7
1788609735368534473	15	1	phase_loop[14]	1788609735358674	8985	f64cb3b164cc1765	eeb5b7cb9c52ced7
1788609735378432981	16	1	phase_loop[15]	1788609735368753	8905	797d89af77f2a23e	eeb5b7cb9c52ced7
1788609735388317302	17	1	phase_loop[16]	1788609735378624	9030	6167b427e835748a	eeb5b7cb9c52ced7
1788609735398624413	18	1	phase_loop[17]	1788609735388502	9157	5b66fa785c63b90f	eeb5b7cb9c52ced7
1788609735408436748	19	1	phase_loop[18]	1788609735398858	8801	43da575532486191	eeb5b7cb9c52ced7
1788609735418430346	20	1	phase_loop[19]	1788609735408635	9026	edc8f6022595ed2f	eeb5b7cb9c52ced7
1788609735428531137	21	1	phase_loop[20]	1788609735418617	9041	75d8e405a6177765	eeb5b7cb9c52ced7
1788609735438525687	22	1	phase_loop[21]	1788609735428731	8929	d36e05a2b524f887	eeb5b7cb9c52ced7
1788609735448409497	23	1	phase_loop[22]	1788609735438735	8922	1f557093c1ec6def	eeb5b7cb9c52ced7
1788609735458683876	24	1	phase_loop[23]	1788609735448616	9043	0802f837a6c4c4ed	eeb5b7cb9c52ced7
1788609735468504006	25	1	phase_loop[24]	1788609735458966	8695	ad057c842408119e	eeb5b7cb9c52ced7
1788609735478507432	26	1	phase_loop[25]	1788609735469515	8142	702afb91092130dd	eeb5b7cb9c52ced7
1788609735488320118	27	1	phase_loop[26]	1788609735478704	8952	388ef44cf2eefc2c	eeb5b7cb9c52ced7
1788609735498578016	28	1	phase_loop[27]	1788609735488498	9161	8d6cdbcd041d9ae3	eeb5b7cb9c52ced7
1788609735508450705	29	1	phase_loop[28]	1788609735498803	8855	75d31031d0ce8635	eeb5b7cb9c52ced7
1788609735518307114	30	1	phase_loop[29]	1788609735508643	9012	4c29dadad8d395d6	eeb5b7cb9c52ced7
1788609735528429415	31	1	phase_loop[30]	1788609735518486	9171	d63c231484c32749	eeb5b7cb9c52ced7
1788609735538646245	32	1	phase_loop[31]	1788609735528622	9037	7ec68548fc427796	eeb5b7cb9c52ced7
1788609735548478157	33	1	phase_loop[32]	1788609735538864	8851	23052742a3b3518f	eeb5b7cb9c52ced7
1788609735558456557	34	1	phase_loop[33]	1788609735548662	8996	d46b0a86af113f7b	eeb5b7cb9c52ced7
1788609735568434766	35	1	phase_loop[34]	1788609735558653	9006	84ea8d54d0aace19	eeb5b7cb9c52ced7
1788609735578441268	36	1	phase_loop[35]	1788609735568671	8987	384ddf4196835076	eeb5b7cb9c52ced7
1788609735588458781	37	1	phase_loop[36]	1788609735578628	9032	6a4d703eca3ab8e4	eeb5b7cb9c52ced7
1788609735599712333	38	1	phase_loop[37]	1788609735588670	8993	2edd9f3eff8e9634	eeb5b7cb9c52ced7
1788609735608570903	39	1	phase_loop[38]	1788609735599979	7680	b00b5b666f1bfdd4	eeb5b7cb9c52ced7
1788609735618412063	40	1	phase_loop[39]	1788609735608810	8848	78f5da2b0423c720	eeb5b7cb9c52ced7
1788609735628412674	41	1	phase_loop[40]	1788609735618596	9062	a58f83dca0ab86d3	eeb5b7cb9c52ced7
1788609735638474080	42	1	phase_loop[41]	1788609735628655	9004	ae05ba4248499d29	eeb5b7cb9c52ced7
1788609735648305531	43	1	phase_loop[42]	1788609735638669	8985	e4a1105fe2fda0e6	eeb5b7cb9c52ced7
1788609735658447500	44	1	phase_loop[43]	1788609735648489	9169	adcd739d2af52121	eeb5b7cb9c52ced7
1788609735668495621	45	1	phase_loop[44]	1788609735658652	9006	a6cfc37a9a839107	eeb5b7cb9c52ced7
1788609735678428534	46	1	phase_loop[45]	1788609735668709	8948	206099da8beb3d41	eeb5b7cb9c52ced7
1788609735688325389	47	1	phase_loop[46]	1788609735678614	9041	a1caf5ad9885eae8	eeb5b7cb9c52ced7
1788609735698870801	48	1	phase_loop[47]	1788609735688508	9151	1eabe05d962a9bf1	eeb5b7cb9c52ced7
1788609735708427563	49	1	phase_loop[48]	1788609735699103	8555	601e3aab8241075d	eeb5b7cb9c52ced7
1788609735718427102	50	1	phase_loop[49]	1788609735708637	9021	03c7d901dcf19ab2	eeb5b7cb9c52ced7
1788609735728422513	51	1	phase_loop[50]	1788609735718617	9041	3d721df45615ba96	eeb5b7cb9c52ced7
1788609735738477648	52	1	phase_loop[51]	1788609735728610	9055	ec18e082fdc411f2	eeb5b7cb9c52ced7
1788609735748340098	53	1	phase_loop[52]	1788609735738681	8976	e4d6209e63d9d1a7	eeb5b7cb9c52ced7
1788609735758638051	54	1	phase_loop[53]	1788609735748523	9135	1f6a42fb7d447f27	eeb5b7cb9c52ced7
1788609735768498988	55	1	phase_loop[54]	1788609735758881	8782	4a3290b29757e02e	eeb5b7cb9c52ced7
1788609735778436660	56	1	phase_loop[55]	1788609735768731	8928	9bc0420bd930a348	eeb5b7cb9c52ced7
1788609735788317826	57	1	phase_loop[56]	1788609735778625	9030	d0e898fa0cc39bbc	eeb5b7cb9c52ced7
1788609735798583809	58	1	phase_loop[57]	1788609735788500	9159	cf936bf0750c6c10	eeb5b7cb9c52ced7
1788609735808448012	59	1	phase_loop[58]	1788609735798819	8840	69fc08343f534bad	eeb5b7cb9c52ced7
1788609735818313678	60	1	phase_loop[59]	1788609735808638	9017	bccccf1a7567e757	eeb5b7cb9c52ced7
1788609735828423386	61	1	phase_loop[60]	1788609735818498	9160	80f23c307f162e4b	eeb5b7cb9c52ced7
1788609735838453693	62	1	phase_loop[61]	1788609735828615	9046	fa02c2afb662d5c1	eeb5b7cb9c52ced7
1788609735848261620	63	1	phase_loop[62]	1788609735838642	9013	cb59d11948671fb7	eeb5b7cb9c52ced7
1788609735858445688	64	1	phase_loop[63]	1788609735848438	9220	da9cab5e1895f04f	eeb5b7cb9c52ced7
1788609735868490122	65	1	phase_loop[64]	1788609735858640	9018	5286353f04ebe514	eeb5b7cb9c52ced7
1788609735878494130	66	1	phase_loop[65]	1788609735868749	8957	81107eb5bf6c0259	eeb5b7cb9c52ced7
1788609735888470485	67	1	phase_loop[66]	1788609735878683	8977	cb6f118f7321fcc5	eeb5b7cb9c52ced7
1788609735898561878	68	1	phase_loop[67]	1788609735888690	8968	1b77af48455e278d	eeb5b7cb9c52ced7
1788609735908471477	69	1	phase_loop[68]	1788609735898792	8866	4d5160c565bbd38c	eeb5b7cb9c52ced7
1788609735918355628	70	1	phase_loop[69]	1788609735908691	8965	23d7de333b4de11e	eeb5b7cb9c52ced7
1788609735928450738	71	1	phase_loop[70]	1788609735918544	9112	e75efb24af3eed24	eeb5b7cb9c52ced7
1788609735938472309	72	1	phase_loop[71]	1788609735928661	9000	980a3196404412a0	eeb5b7cb9c52ced7
