t_recv_ns	batch_idx	n_span	name	timestamp_us	duration_us	id	parent
1788609542465338153	0	1	calibration	1788609542464168	55	a65c5d36dfb29a69	b6ad8b894aa4edbd
1788609542518696360	1	1	phase_loop[0]	1788609542467938	49958	709dbb25e4d97035	43aee08e5bc66905
1788609542519941449	2	1	phase_loop[0]	1788609542466685	51589	1c2672610e12dffa	6b0b288e4b999cfa
1788609542520846754	3	1	phase_loop[1]	1788609542518935	1388	89d24b4763b75d8d	43aee08e5bc66905
1788609542522228822	4	1	phase_loop[0]	1788609542467416	50877	a93bf2e7e1571f98	c5f8c51ac2df23e4
1788609542523573650	5	1	phase_loop[0]	1788609542517818	2054	3e40947d3d46c088	7a3cd2513ac91454
1788609542524746843	6	1	phase_loop[1]	1788609542520119	2261	3fa8dddac856fd56	6b0b288e4b999cfa
1788609542526086882	7	1	phase_loop[0]	1788609542468594	49727	63011a9ef4ed97fa	392f8cdcf389948f
1788609542527429876	8	1	phase_loop[1]	1788609542523800	2008	362a0abd608404a6	7a3cd2513ac91454
1788609542528527696	9	1	phase_loop[2]	1788609542525030	1807	d34a7cee7ac90e63	6b0b288e4b999cfa
1788609542530204362	10	1	phase_loop[2]	1788609542521013	1082	25f6e5ade2b1e149	43aee08e5bc66905
1788609542531416509	11	1	phase_loop[2]	1788609542527625	2006	f910eb3525407f3e	7a3cd2513ac91454
1788609542532919636	12	1	phase_loop[1]	1788609542522442	1093	670b7757af40ef92	c5f8c51ac2df23e4
1788609542534255567	13	1	phase_loop[1]	1788609542526267	1109	8fa7fb4e33d32475	392f8cdcf389948f
1788609542535301689	14	1	phase_loop[2]	1788609542533132	1453	071e33f42cb9dbe3	c5f8c51ac2df23e4
1788609542536452289	15	1	phase_loop[3]	1788609542531625	2005	5dd54c31fc0920e8	7a3cd2513ac91454
1788609542538033234	16	1	phase_loop[3]	1788609542528702	1114	55ae526584e1bd5f	6b0b288e4b999cfa
1788609542539232776	17	1	phase_loop[3]	1788609542530426	1119	ff9ba39b986a1f6f	43aee08e5bc66905
1788609542540364811	18	1	phase_loop[4]	1788609542536656	2006	36768e53546346b8	7a3cd2513ac91454
1788609542541706824	19	1	phase_loop[2]	1788609542534484	1560	346b8979cf18d46d	392f8cdcf389948f
1788609542543072441	20	1	phase_loop[3]	1788609542535508	1093	d06f34131b2818a9	c5f8c51ac2df23e4
1788609542544161063	21	1	phase_loop[5]	1788609542540570	2002	0fde5702a2e8fed1	7a3cd2513ac91454
1788609542544868333	22	1	phase_loop[4]	1788609542543248	1086	ca4cc16292c6c2ab	c5f8c51ac2df23e4
1788609542546218030	23	1	phase_loop[3]	1788609542541913	1084	07ca1b1043b9cf5a	392f8cdcf389948f
1788609542547574329	24	1	phase_loop[4]	1788609542538407	1551	d286e58c9a8927c0	6b0b288e4b999cfa
1788609542548910561	25	1	phase_loop[6]	1788609542544328	2000	688a4bc6f47e8eb3	7a3cd2513ac91454
1788609542550078233	26	1	phase_loop[4]	1788609542539421	1101	38ed6fb457b92616	43aee08e5bc66905
1788609542551426327	27	1	phase_loop[5]	1788609542545037	1090	d4ba68310ae91b4d	c5f8c51ac2df23e4
1788609542552612084	28	1	phase_loop[7]	1788609542549084	2001	3b643fb5ee1791f0	7a3cd2513ac91454
1788609542553862663	29	1	phase_loop[4]	1788609542546392	1092	80855b70af673e45	392f8cdcf389948f
1788609542555262545	30	1	phase_loop[5]	1788609542547737	1101	0c1b83624633481e	6b0b288e4b999cfa
1788609542556608585	31	1	phase_loop[5]	1788609542550248	1081	b9871133d46bb9f2	43aee08e5bc66905
1788609542558251006	32	1	phase_loop[6]	1788609542551587	1088	6ed625fd7dfcefd5	c5f8c51ac2df23e4
1788609542559140982	33	1	phase_loop[8]	1788609542552773	3677	ad00f26c00e69ebf	7a3cd2513ac91454
1788609542560500368	34	1	phase_loop[7]	1788609542558472	1114	18e8678ed010bb07	c5f8c51ac2df23e4
