t_recv_ns	batch_idx	n_span	name	timestamp_us	duration_us	id	parent
1788609446154595882	0	1	calibration	1788609446153646	55	21f711ff73d46842	5851557272f1d0c0
1788609446174018380	1	1	phase_loop[0]	1788609446171110	2045	0611f52fd04c596a	1c78b1e9def6a8ad
1788609446177100083	2	1	phase_loop[1]	1788609446174259	2022	f9f0f830bc5f1b0d	1c78b1e9def6a8ad
1788609446185877707	3	1	phase_loop[2]	1788609446177299	7837	e83630a088f5694a	1c78b1e9def6a8ad
1788609446196008045	4	1	phase_loop[3]	1788609446186074	9067	527f8ceb8e01365c	1c78b1e9def6a8ad
1788609446206111873	5	1	phase_loop[4]	1788609446196249	8895	e135a9ee7bcb5bd5	1c78b1e9def6a8ad
1788609446215756381	6	1	phase_loop[5]	1788609446206323	8813	9413d12d51559837	1c78b1e9def6a8ad
1788609446225943447	7	1	phase_loop[6]	1788609446215956	9185	b1d79f99ae4e3514	1c78b1e9def6a8ad
1788609446235963025	8	1	phase_loop[7]	1788609446226139	9000	5205a32d6d5b7ba1	1c78b1e9def6a8ad
1788609446245937889	9	1	phase_loop[8]	1788609446236198	8938	eaaa48b41b9bd2e4	1c78b1e9def6a8ad
1788609446255796743	10	1	phase_loop[9]	1788609446246129	9009	9012789674a6fd79	1c78b1e9def6a8ad
1788609446266077566	11	1	phase_loop[10]	1788609446256017	9125	a22dd151b72a5903	1c78b1e9def6a8ad
1788609446275952430	12	1	phase_loop[11]	1788609446266327	8814	7fe15ffdf7dfdf53	1c78b1e9def6a8ad
1788609446286071067	13	1	phase_loop[12]	1788609446276146	8994	b94291b0a4f95ddc	1c78b1e9def6a8ad
1788609446295994793	14	1	phase_loop[13]	1788609446286266	8874	784e1ffea98d83a4	1c78b1e9def6a8ad
1788609446305966822	15	1	phase_loop[14]	1788609446296239	8901	d31f93172b92cd39	1c78b1e9def6a8ad
1788609446315777163	16	1	phase_loop[15]	1788609446306168	8969	a8e701083e3b4bf0	1c78b1e9def6a8ad
1788609446325922881	17	1	phase_loop[16]	1788609446315973	9167	f45e134a807891e0	1c78b1e9def6a8ad
1788609446335956286	18	1	phase_loop[17]	1788609446326128	9014	f280561b0aa64291	1c78b1e9def6a8ad
1788609446345933674	19	1	phase_loop[18]	1788609446336170	8971	2784d507064c8870	1c78b1e9def6a8ad
